# git-filter-repo commit map for the protocol/ import (source JMSBPP/cfmm-vol-markets@627566ee2cb91556e5fbf909d9d3197bb06a5d77, tag archive/pre-restructure)
# columns: old-sha new-sha (new = 0000… means pruned)
old                                      new
2d7b5071345f496bb1449ac2eabe40254b31d8ad 0000000000000000000000000000000000000000
2d85672436ab85928d30708c8c2664dbdea0c937 0000000000000000000000000000000000000000
2d99e75cda624719da958d1a01fa47a591502e6a 0000000000000000000000000000000000000000
2d9b8519f114ded721ccc2b9dc4c0648dea318ae 0000000000000000000000000000000000000000
2dca268e1ae023ce3cffa7a8cb51ce226c7e7107 0000000000000000000000000000000000000000
2de090ac9ea8babb87f278eb6a6bc4b1a480e1f8 0000000000000000000000000000000000000000
2e0b2f2e282538b83a8b1c6481d02981039647e2 0000000000000000000000000000000000000000
2e1a3906d24cc352cb954fb0e320e56e0f9a4eee 0000000000000000000000000000000000000000
2e96f570a37783c908eb7b93b2aa001d5af293d7 0000000000000000000000000000000000000000
2eb3a519cf43b88c390cc4b1951dc6475e718366 0000000000000000000000000000000000000000
2eccb7dd7017202c31078e2b790f80d2689bd81c 0000000000000000000000000000000000000000
2f5310ca04a4d893581abf9de0778ea5bef61cf9 0000000000000000000000000000000000000000
2f6235d547231fea73f2cecdfc5a84873e723111 0000000000000000000000000000000000000000
301e6ff309d2d93537c79226780aafb8ea125af5 0000000000000000000000000000000000000000
3027af0bbcecd9bb6f0f13e3ad717b416f13c8a9 0000000000000000000000000000000000000000
3049296cf4d686115aeb350febcd6629cc8f4f3e 0000000000000000000000000000000000000000
304bec334032673f89ccb1147a597f7df9d39d6f 0000000000000000000000000000000000000000
304fb8340b95b84be311fd2ff156a8ec870c54a4 9dcf9b8452f7e4060f3b50a4500c3b5418510cd4
30699577270b530ff5d290aa0418d8e23c59b0de 0000000000000000000000000000000000000000
306b5878f8c0aca396d831d2d2636d00ecfdc9e7 0000000000000000000000000000000000000000
309167d414f49bf3b5ecf522bba2f4e0f0b78949 0000000000000000000000000000000000000000
30ab94a41353d43b409049046402a6722e68f57c 0000000000000000000000000000000000000000
3124327afe6b5b832deb77795ac71260198bf4a3 0000000000000000000000000000000000000000
314ee364ff97986e26040ef202eb867c3a8498eb 0000000000000000000000000000000000000000
31b640e7ddba8bc11b22c2dd4f9a427604678ee4 0000000000000000000000000000000000000000
31d4d3767097432c45c38eb2c99f4e2e63d2beaf 0000000000000000000000000000000000000000
3256f5b5f53b7b4341364ed4d33e143ee484be99 0000000000000000000000000000000000000000
32ea0f5011b8cd1c5ed03cd0fff7a774af18c65c 0000000000000000000000000000000000000000
333ad97b11006388e9ecfdcb00369c9e96970922 0000000000000000000000000000000000000000
335c9a67a354195ed707db343a8621ebd5953d20 0000000000000000000000000000000000000000
34056cde18c8b85cb558c9071baa411481c7f198 0000000000000000000000000000000000000000
340bda5bdef65a3b537f079080f4cc7cae806420 0000000000000000000000000000000000000000
34720c54282a03cd7d1e5d31bb21d26299a8c1c5 0000000000000000000000000000000000000000
349ad3798baab84c7e466c20efc58264fe863e0a 0000000000000000000000000000000000000000
358edceb56c14ec2d92ba807ff292903945c5e9c 0000000000000000000000000000000000000000
35f3fd7245132c59e0f2e0537471d182a45f54e1 0000000000000000000000000000000000000000
360263c65b1d1ae151a7cf03dd8fcb3fac8101ab 0000000000000000000000000000000000000000
36172c130c2e52144b6d2e5480c332c7b833338a 0000000000000000000000000000000000000000
36309a6ac8d5f8366b09f34bf2d8bc8ecc70dc07 0000000000000000000000000000000000000000
36a560b0b9c19e6fde29279506fb4bfbe2b8e3ed 0000000000000000000000000000000000000000
